"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.653913344730000E9,"2022-05-30 14:22:24.730 UTC+02:00"
"PAUSE",1.800473708749996E2,1.653913524775000E9,"2022-05-30 14:25:24.775 UTC+02:00"
