"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.654177171200000E9,"2022-06-02 15:39:31.200 UTC+02:00"
"PAUSE",1.907641507916851E2,1.654177361963000E9,"2022-06-02 15:42:41.963 UTC+02:00"
