"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
8.415343750E-1,-4.366419983E-1,1.443448334E0,8.226892090E0
8.515483750E-1,-4.299060059E-1,1.540596313E0,8.542884979E0
8.615623750E-1,-8.833131409E-1,2.135309601E0,8.812474365E0
8.715753750E-1,-1.617087250E0,2.398162994E0,8.858578491E0
8.815893750E-1,-2.204914856E0,2.628833313E0,8.806187439E0
8.916033750E-1,-2.475252686E0,2.847079468E0,8.663384399E0
9.016163750E-1,-2.023791504E0,2.737207947E0,8.943002930E0
9.116303750E-1,-1.329086151E0,2.603535919E0,9.251062317E0
9.216443750E-1,-8.881031799E-1,2.465672607E0,9.187594299E0
9.316573750E-1,-8.605604553E-1,2.340083771E0,9.278455353E0
9.416713750E-1,-1.448388062E0,2.344125366E0,8.940607910E0
9.516853750E-1,-2.078577576E0,2.639610901E0,9.100475464E0
9.616983750E-1,-2.209555206E0,2.879412231E0,9.433682556E0
9.717123750E-1,-2.139949951E0,2.747835846E0,9.565109253E0
9.817263750E-1,-1.907782745E0,2.807411957E0,9.359736328E0
9.917393750E-1,-1.659449158E0,2.879861298E0,9.195827179E0
1.001753375E0,-1.532662811E0,3.038980408E0,9.264683990E0
1.011767375E0,-1.374591522E0,3.162174225E0,9.276958466E0
1.021780375E0,-1.134191437E0,3.168610840E0,9.107510834E0
1.031794375E0,-8.858578491E-1,3.242856445E0,9.000034332E0
1.041808375E0,-6.927593994E-1,3.258573761E0,8.973689117E0
1.051821375E0,-4.764591980E-1,3.310515747E0,8.999136200E0
1.061835375E0,-2.555186462E-1,3.204835510E0,9.148525543E0
1.071849375E0,-3.697311401E-1,3.264710999E0,8.857680359E0
1.081863375E0,-3.052153015E-1,3.463796997E0,8.828940125E0
1.091876375E0,-3.363505554E-1,3.403921509E0,8.858279114E0
1.101890375E0,-5.337899780E-1,3.452720032E0,8.944499817E0
1.111903375E0,-7.297325134E-1,3.555705872E0,8.876990204E0
1.121917375E0,-8.538244629E-1,3.533701630E0,8.779692535E0
1.131931375E0,-8.379574585E-1,3.600163422E0,8.752598877E0
1.141945375E0,-7.418572998E-1,3.603306885E0,8.657247162E0
1.151958375E0,-5.502557373E-1,3.632346497E0,8.638985138E0
1.161972375E0,-4.382885742E-1,3.753594360E0,8.647218018E0
1.171986375E0,-4.553530884E-1,3.783532104E0,8.641380157E0
1.181999375E0,-5.183720398E-1,3.800895996E0,8.502469025E0
1.192013375E0,-5.999523926E-1,3.824247437E0,8.392747192E0
1.202026375E0,-6.873706055E-1,3.830983429E0,8.380622406E0
1.212040375E0,-7.833210754E-1,3.881578217E0,8.332572327E0
1.222054375E0,-8.328680420E-1,3.895499268E0,8.375982056E0
1.232068375E0,-8.861572266E-1,3.912563782E0,8.520731049E0
1.242081375E0,-9.047186279E-1,3.903582458E0,8.621321869E0
1.252095375E0,-8.614585876E-1,3.870950317E0,8.572074280E0
1.262109375E0,-8.131091309E-1,3.901187439E0,8.723708954E0
1.272122375E0,-7.670050049E-1,3.955674133E0,8.869206390E0
1.282136375E0,-6.896159363E-1,3.930376740E0,8.976233826E0
1.292150375E0,-5.728587341E-1,3.961661682E0,9.074729004E0
1.302163375E0,-5.424719238E-1,4.011058960E0,9.062604218E0
1.312177375E0,-5.788462830E-1,4.031117249E0,9.070537720E0
1.322190375E0,-5.682183838E-1,4.070186005E0,9.059760132E0
1.332204375E0,-4.927752686E-1,4.054019623E0,8.988957367E0
1.342218375E0,-3.565585327E-1,4.012106781E0,9.139544220E0
1.352232375E0,-2.421963501E-1,3.958518219E0,9.498497772E0
1.362245375E0,-1.269360352E-1,3.855831757E0,9.877509613E0
1.372259375E0,-9.879455566E-2,3.832180939E0,1.023122406E1
1.382273375E0,-1.076261902E-1,3.838617554E0,1.042237656E1
1.392286375E0,-1.526824951E-1,3.916306000E0,1.053509216E1
1.402300375E0,-1.935475159E-1,4.017794952E0,1.064211960E1
1.412313375E0,-1.478924561E-1,4.061204681E0,1.061562469E1
1.422327375E0,-6.286926270E-3,3.998485107E0,1.065978287E1
1.432341250E0,2.068698120E-1,3.949686584E0,1.073223221E1
1.442354250E0,4.110452271E-1,3.913012848E0,1.075857742E1
1.452368250E0,4.998106384E-1,3.819756775E0,1.084809128E1
1.462382250E0,4.822970581E-1,3.744762726E0,1.096649506E1
1.472396250E0,4.334985352E-1,3.669020233E0,1.103175934E1
1.482409250E0,4.126918030E-1,3.558699646E0,1.101798798E1
1.492423250E0,4.782554626E-1,3.445984039E0,1.092518097E1
1.502436250E0,6.267466736E-1,3.275937653E0,1.079165863E1
1.512450250E0,9.372010803E-1,2.981799316E0,1.056188644E1
1.522464250E0,1.259630585E0,2.730771332E0,1.030337402E1
1.532478250E0,1.567839661E0,2.546354828E0,9.954599304E0
1.542491250E0,1.829345856E0,2.413131866E0,9.591604156E0
1.552505250E0,1.942510529E0,2.249971161E0,9.291029205E0
1.562519250E0,1.893113251E0,2.118993530E0,8.978778534E0
1.572532250E0,1.804347839E0,2.013013916E0,8.668473816E0
1.582546250E0,1.742676086E0,1.896406403E0,8.395291901E0
1.592559250E0,1.705702972E0,1.813478851E0,8.141569519E0
1.602573250E0,1.706750793E0,1.871258698E0,7.884104919E0
1.612587250E0,1.727707214E0,1.950593719E0,7.676486664E0
1.622600250E0,1.761836243E0,2.021995239E0,7.493267670E0
1.632614250E0,1.789678345E0,2.093247070E0,7.385192413E0
1.642628250E0,1.804796906E0,2.117796021E0,7.360793152E0
1.652641250E0,1.815125427E0,2.178569641E0,7.421716461E0
1.662655250E0,1.816023560E0,2.266436920E0,7.560627594E0
1.672669250E0,1.799857178E0,2.415676575E0,7.757019196E0
1.682682250E0,1.805695038E0,2.584675140E0,8.006550293E0
1.692696250E0,1.875899048E0,2.675985260E0,8.293802948E0
1.702710250E0,1.926044769E0,2.748434601E0,8.498577118E0
1.712723250E0,1.963766327E0,2.784210205E0,8.648265839E0
1.722737250E0,1.962269440E0,2.793191528E0,8.663983154E0
1.732751250E0,1.933379517E0,2.821333008E0,8.582552490E0
1.742764250E0,1.851050720E0,2.887495422E0,8.397387543E0
1.752778250E0,1.680405579E0,2.984793091E0,8.169710999E0
1.762792250E0,1.450334015E0,3.108585663E0,7.931855621E0
1.772805250E0,1.193917236E0,3.214864655E0,7.689210205E0
1.782819250E0,9.699829102E-1,3.339106293E0,7.595205688E0
1.792833250E0,7.625143433E-1,3.462150421E0,7.382647705E0
1.802846250E0,4.869374084E-1,3.440894623E0,7.250023499E0
1.812860250E0,3.067121887E-1,3.462599487E0,7.466623077E0
1.822874250E0,1.636097717E-1,3.521127777E0,7.485184479E0
1.832887250E0,4.550537109E-2,3.542832642E0,7.568561096E0
1.842901250E0,-5.777984619E-2,3.629502411E0,7.688761139E0
1.852915250E0,-1.694476318E-1,3.722758484E0,7.747289429E0
1.862928250E0,-2.769241333E-1,3.795806580E0,7.898025970E0
1.872942250E0,-3.643423462E-1,3.895948334E0,8.077802124E0
1.882956250E0,-4.125421143E-1,3.987707520E0,8.244405670E0
1.892969250E0,-4.227209473E-1,4.101171570E0,8.490044861E0
1.902983250E0,-4.649331665E-1,4.178860016E0,8.734187164E0
1.912997250E0,-4.640350342E-1,4.187392273E0,8.942254486E0
1.923010250E0,-4.670288086E-1,4.177063751E0,9.193881226E0
1.933024250E0,-4.122427368E-1,4.120481415E0,9.402247925E0
1.943038250E0,-4.004173279E-1,4.033362579E0,9.706265717E0
1.953051250E0,-4.308041382E-1,3.894601135E0,1.009440857E1
1.963065250E0,-4.492158508E-1,3.697910156E0,1.056981995E1
1.973079250E0,-4.852908325E-1,3.471730499E0,1.098460739E1
1.983092250E0,-4.828958130E-1,3.239263916E0,1.118294495E1
1.993106250E0,-5.074447632E-1,3.064876556E0,1.132709518E1
2.003120250E0,-6.514453125E-1,3.016527100E0,1.114492401E1
2.013133250E0,-8.267308044E-1,3.089425507E0,1.091964249E1
2.023147250E0,-1.033750305E0,3.191962280E0,1.078177917E1
2.033161250E0,-1.191971283E0,3.278332672E0,1.071726334E1
2.043174250E0,-1.254690857E0,3.343147888E0,1.076785812E1
2.053188250E0,-1.221909027E0,3.446882172E0,1.077100159E1
2.063202250E0,-1.108894043E0,3.585493927E0,1.079240707E1
2.073215250E0,-9.639953613E-1,3.648512878E0,1.087249054E1
2.083229250E0,-7.512876892E-1,3.600462799E0,1.093042007E1
2.093243250E0,-5.222639465E-1,3.478915558E0,1.098610428E1
2.103256250E0,-3.570075989E-1,3.268602905E0,1.120240448E1
2.113270250E0,-2.817141724E-1,2.928061066E0,1.161868881E1
2.123283250E0,-1.796264648E-1,2.452350311E0,1.200518509E1
2.133297250E0,-5.673202515E-2,1.924547882E0,1.222657471E1
2.143311250E0,2.095642090E-3,1.513203278E0,1.206012085E1
2.153324250E0,-2.245330811E-2,1.199306030E0,1.161389877E1
2.163338250E0,-1.700463867E-1,1.060843964E0,1.110660370E1
2.173352250E0,-5.096900940E-1,1.084195404E0,1.062520477E1
2.183365250E0,-8.674461365E-1,1.210233307E0,1.004336472E1
2.193379250E0,-1.079704742E0,1.408570862E0,9.367669830E0
2.203393250E0,-1.143172760E0,1.660646667E0,8.864715729E0
2.213406250E0,-1.292262726E0,1.736838226E0,8.127199402E0
2.223420250E0,-1.413959656E0,1.793719940E0,7.720195770E0
2.233434250E0,-1.331481171E0,2.082768860E0,7.666607208E0
2.243447250E0,-1.143771515E0,2.248923340E0,7.515421600E0
2.253461250E0,-9.722282410E-1,2.334994354E0,7.549850006E0
2.263475250E0,-8.762777710E-1,2.387684784E0,7.715405731E0
2.273488250E0,-7.864645386E-1,2.378104706E0,7.907306671E0
2.283502250E0,-6.721023560E-1,2.343227234E0,8.011939087E0
2.293516250E0,-5.950126648E-1,2.277663574E0,8.131240997E0
2.303529250E0,-5.804928589E-1,2.230361938E0,8.181237030E0
2.313543250E0,-5.993536377E-1,2.191442871E0,8.169411621E0
2.323557250E0,-6.619235229E-1,2.213596802E0,8.161328430E0
2.333570250E0,-7.373666382E-1,2.250569916E0,8.099207611E0
2.343584250E0,-8.192463684E-1,2.275567932E0,8.042325897E0
2.353598250E0,-9.190887451E-1,2.333647156E0,8.050409088E0
2.363611250E0,-9.973759460E-1,2.395169220E0,7.995024261E0
2.373625250E0,-1.033899994E0,2.429747314E0,7.993677063E0
2.383639250E0,-1.028511200E0,2.456092529E0,8.042325897E0
2.393652250E0,-9.963281250E-1,2.444716187E0,8.099357300E0
