"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
8.841822083E-1,-2.071235329E-3,-1.239597797E-3,-4.056266975E-3
8.941962083E-1,-1.652587205E-3,-1.122816466E-4,2.574471524E-3
9.042102083E-1,1.252073795E-3,-2.484335564E-4,9.934934787E-4
9.142242083E-1,4.656426609E-4,1.735621598E-3,6.243796088E-4
9.242382084E-1,-1.505412161E-3,-4.755971022E-4,-3.073844127E-4
9.342522084E-1,1.928467304E-3,-4.762737080E-5,9.240615182E-4
9.442662084E-1,1.023244113E-3,3.473581281E-3,-2.437289804E-4
9.542802084E-1,7.302965969E-4,5.088653415E-5,-4.256227985E-4
9.642942084E-1,-1.731812954E-4,6.373473443E-4,7.246304303E-4
9.743082084E-1,-4.075393081E-4,3.478615545E-4,-1.723080873E-3
9.843232083E-1,1.595029607E-3,1.204476692E-3,-1.746885013E-3
9.943372083E-1,3.047250211E-3,4.280591384E-5,2.978628036E-3
1.004351208E0,2.747453749E-3,1.464182045E-3,-1.641976181E-3
1.014365208E0,8.976217359E-4,9.789541364E-4,-4.571359605E-4
1.024379208E0,1.244284213E-4,2.043517306E-4,-1.293546986E-3
1.034393208E0,-4.745181650E-4,-1.647077966E-3,-6.522578187E-4
1.044407208E0,8.823070675E-4,-7.995581254E-4,-8.829422295E-4
1.054421208E0,3.803018481E-4,2.550964709E-3,-2.203476615E-4
1.064435208E0,6.641838700E-4,1.023116987E-3,8.669588715E-4
1.074449208E0,1.219451427E-3,-8.549443446E-4,-8.087018505E-4
1.084463208E0,1.745151356E-3,4.387139343E-4,7.840055041E-4
1.094477208E0,9.989328682E-4,1.281891018E-4,1.109976321E-3
1.104491208E0,-2.758245915E-3,-2.725439146E-3,7.135607302E-4
1.114505208E0,-2.563834190E-3,-2.716025338E-4,-1.326686703E-3
1.124519208E0,-3.319039941E-3,1.147587318E-3,1.065747347E-3
1.134533208E0,-2.386666834E-3,1.197921112E-3,1.132592559E-3
1.144547208E0,-6.622038782E-4,1.396755688E-4,1.260274090E-3
1.154561208E0,-1.553563401E-3,9.865607135E-4,-2.774354070E-4
1.164575208E0,3.661159426E-4,-2.746351063E-3,1.396639273E-4
1.174589208E0,2.655368298E-3,5.719480105E-4,-1.969598234E-4
1.184603208E0,-4.974436015E-4,2.618608996E-4,-8.722012863E-4
1.194618208E0,7.915273309E-4,-1.642452553E-4,1.882838784E-3
1.204631958E0,-2.466350794E-3,-1.263237093E-3,-2.073422074E-4
1.214645958E0,1.189902425E-3,-1.051249448E-3,-4.062848166E-5
1.224659958E0,-1.513671130E-3,8.286344819E-4,4.390999675E-5
1.234673958E0,4.227124155E-4,-1.029395498E-4,-2.604337875E-3
1.244687958E0,-1.154219732E-3,-2.494966611E-3,-1.822945662E-3
1.254701958E0,-1.344902441E-3,5.697994493E-4,9.000301361E-5
1.264715958E0,1.711929217E-3,6.496026181E-4,-7.632193156E-4
1.274729958E0,1.310057938E-3,9.084618650E-4,4.216209054E-4
1.284743958E0,5.076378584E-4,-1.191474963E-3,-3.509465605E-4
1.294757958E0,1.481022686E-3,1.230137423E-3,1.063183881E-4
1.304771958E0,-1.535126939E-3,-5.837301724E-4,-3.823358566E-5
1.314785958E0,-2.594739199E-4,-7.701516151E-4,-1.349308062E-3
1.324799958E0,7.628593594E-4,-7.900847122E-4,-3.990058322E-3
1.334813958E0,6.123911589E-4,-1.367191784E-3,-3.955895081E-4
1.344827958E0,-1.193122938E-3,-1.294873655E-3,-1.236342825E-3
1.354841958E0,-4.562251270E-4,1.368415542E-4,-2.842624672E-4
1.364855958E0,-1.778777689E-3,-6.220685318E-4,-1.850396860E-3
1.374869958E0,1.495046541E-3,-1.549497247E-4,-7.198848762E-4
1.384884958E0,-2.108141780E-5,-1.409698743E-3,-1.842107158E-3
1.394898958E0,-3.572925925E-5,1.257989556E-3,-9.795092046E-4
1.404912958E0,-1.926813275E-4,7.610302418E-5,-1.490525901E-3
1.414926958E0,-5.993992090E-6,-9.105978534E-4,-1.308632083E-3
1.424940958E0,-1.123903319E-3,6.264462136E-4,-2.477995120E-3
1.434954958E0,2.430975437E-4,-1.038295683E-3,-8.726422675E-4
1.444968958E0,7.520560175E-4,-9.549832903E-4,-2.625710331E-4
1.454982958E0,-2.428824082E-3,2.807234414E-4,-1.899616327E-3
1.464996958E0,-2.556599677E-3,1.433892641E-3,-1.124016475E-3
1.475010958E0,-1.117160544E-3,5.023186095E-4,3.164871596E-4
1.485024958E0,-3.779971972E-3,-6.083124317E-4,2.975719981E-4
1.495038958E0,-1.766622066E-3,-1.004058402E-3,1.097052824E-3
1.505052958E0,-1.251304522E-3,2.001064830E-3,-2.112417948E-3
1.515066958E0,-1.699781045E-3,-6.727487780E-4,-1.012798399E-3
1.525080958E0,5.128514022E-4,-2.212625928E-3,5.463184789E-5
1.535094958E0,1.837775111E-3,9.253770113E-4,-1.736876555E-3
1.545108958E0,1.755572855E-3,-1.987636555E-3,-6.120703183E-4
1.555122958E0,-1.915061846E-3,2.104044426E-3,-1.117538195E-3
1.565136958E0,-1.588463783E-4,2.890448552E-3,1.632996835E-3
1.575150958E0,-1.041151583E-3,-2.701911144E-4,-1.229368616E-3
1.585164958E0,-2.279367298E-3,9.737382643E-4,-2.548336051E-4
1.595178958E0,1.734016463E-3,-1.171438023E-3,-3.469791263E-4
1.605193958E0,-2.554431558E-4,1.753219403E-4,1.635368448E-3
1.615207958E0,-9.964779019E-5,-1.786096022E-3,9.504035115E-4
1.625221958E0,8.892938495E-4,-1.965426840E-3,1.387989614E-3
1.635235958E0,5.361586809E-4,-3.606062382E-4,-9.697065689E-4
1.645249958E0,-1.346817240E-3,-1.968361903E-3,-1.197722740E-4
1.655263958E0,8.742585778E-4,-7.869838737E-4,-1.356544439E-3
1.665277958E0,1.088369638E-3,-5.256705917E-4,-2.524273936E-3
1.675291958E0,-3.595910966E-4,1.085275318E-3,1.186574809E-3
1.685305958E0,-1.841954887E-3,8.382634260E-4,-2.466863953E-4
1.695319958E0,9.333249182E-4,-4.738760181E-4,1.176506747E-3
1.705333958E0,-1.112326980E-3,1.865935512E-3,-6.765346043E-4
