"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
8.541402083E-1,-1.893562317E-1,-5.885760498E-1,9.596992950E0
8.641542083E-1,-1.865121460E-1,-5.896238708E-1,9.603429565E0
8.741682083E-1,-1.968406677E-1,-6.111790466E-1,9.634564819E0
8.841822083E-1,-2.100132751E-1,-6.231541443E-1,9.646839294E0
8.941962083E-1,-2.149530029E-1,-6.227050781E-1,9.653425598E0
9.042102083E-1,-2.118095398E-1,-6.173162842E-1,9.659113770E0
9.142242083E-1,-2.091151428E-1,-6.135740662E-1,9.634564819E0
9.242382084E-1,-2.118095398E-1,-6.144721985E-1,9.624086609E0
9.342522084E-1,-2.002835083E-1,-5.998027039E-1,9.613159332E0
9.442662084E-1,-2.094145203E-1,-5.987548828E-1,9.620344391E0
9.542802084E-1,-2.143542480E-1,-6.045927429E-1,9.632918243E0
9.642942084E-1,-2.037263489E-1,-6.084846497E-1,9.630672913E0
9.743082084E-1,-2.100132751E-1,-6.074368286E-1,9.641899567E0
9.843232083E-1,-2.104623413E-1,-6.108796692E-1,9.637857971E0
9.943372083E-1,-2.104623413E-1,-6.086343384E-1,9.642947388E0
1.004351208E0,-2.019300842E-1,-6.116281128E-1,9.641151123E0
1.014365208E0,-2.125579834E-1,-6.122268677E-1,9.624086609E0
1.024379208E0,-2.076182556E-1,-6.065386963E-1,9.613159332E0
1.034393208E0,-2.073188782E-1,-6.059399414E-1,9.622589722E0
1.044407208E0,-2.092648315E-1,-6.075865173E-1,9.630972290E0
1.054421208E0,-2.116598511E-1,-6.047424316E-1,9.634265442E0
1.064435208E0,-2.025288391E-1,-6.075865173E-1,9.644444275E0
1.074449208E0,-2.109114075E-1,-6.167175293E-1,9.644893341E0
1.084463208E0,-2.130070496E-1,-6.207591248E-1,9.641749878E0
1.094477208E0,-2.131567383E-1,-6.168672180E-1,9.641151123E0
1.104491208E0,-2.103126526E-1,-6.120771790E-1,9.617051239E0
1.114505208E0,-2.050735474E-1,-6.065386963E-1,9.621990967E0
1.124519208E0,-2.034269714E-1,-6.066883850E-1,9.614955597E0
1.134533208E0,-2.077679443E-1,-6.107299805E-1,9.616003418E0
1.144547208E0,-2.074685669E-1,-6.120771790E-1,9.623487854E0
1.154561208E0,-2.058219910E-1,-6.001020813E-1,9.643246765E0
1.164575208E0,-2.116598511E-1,-6.089337158E-1,9.640402679E0
1.174589208E0,-2.073188782E-1,-6.048921204E-1,9.628277893E0
1.184603208E0,-2.004331970E-1,-6.021977234E-1,9.633067932E0
1.194618208E0,-1.980381775E-1,-6.111790466E-1,9.632469177E0
1.204631958E0,-2.113604736E-1,-6.099815369E-1,9.613159332E0
1.214645958E0,-2.058219910E-1,-6.051914978E-1,9.622290344E0
1.224659958E0,-2.016307068E-1,-6.125262451E-1,9.624685364E0
1.234673958E0,-2.028282166E-1,-6.090834045E-1,9.627080383E0
1.244687958E0,-2.065704346E-1,-6.107299805E-1,9.627679138E0
1.254701958E0,-2.083666992E-1,-6.117778015E-1,9.639803925E0
1.264715958E0,-2.163002014E-1,-6.188131714E-1,9.635612640E0
1.274729958E0,-2.151026917E-1,-6.143225098E-1,9.640552368E0
1.284743958E0,-2.079176331E-1,-6.152206421E-1,9.627080383E0
1.294757958E0,-2.046244812E-1,-6.072871399E-1,9.627230072E0
1.304771958E0,-1.962419128E-1,-6.069877625E-1,9.627230072E0
1.314785958E0,-2.007325745E-1,-6.066883850E-1,9.625134430E0
1.324799958E0,-2.124082947E-1,-6.156697083E-1,9.624385986E0
1.334813958E0,-2.017803955E-1,-6.185137939E-1,9.622589722E0
1.344827958E0,-2.047741699E-1,-6.104306030E-1,9.630074158E0
1.354841958E0,-2.148033142E-1,-6.162684631E-1,9.636061707E0
1.364855958E0,-2.177970886E-1,-6.215075684E-1,9.627679138E0
1.374869958E0,-2.073188782E-1,-6.110293579E-1,9.632918243E0
1.384884958E0,-1.950444031E-1,-6.062393188E-1,9.642797699E0
1.394898958E0,-2.104623413E-1,-6.177653503E-1,9.630373535E0
1.404912958E0,-2.062710571E-1,-6.129753113E-1,9.633816376E0
1.414926958E0,-2.034269714E-1,-6.120771790E-1,9.625284119E0
1.424940958E0,-2.171983337E-1,-6.113287354E-1,9.629176025E0
1.434954958E0,-2.004331970E-1,-6.045927429E-1,9.622889099E0
1.444968958E0,-2.055226135E-1,-6.074368286E-1,9.621392212E0
