"event"	"experiment time"	"system time"	"system time text"
"START"	0.000000000000000E0	1.653913626568000E9	"2022-05-30 14:27:06.568 UTC+02:00"
"PAUSE"	1.792918132083287E2	1.653913805857000E9	"2022-05-30 14:30:05.857 UTC+02:00"
