"event","experiment time","system time","system time text"
"START",0.000000000000000E0,1.654177384903000E9,"2022-06-02 15:43:04.903 UTC+02:00"
"PAUSE",1.633232195835444E1,1.654177401235000E9,"2022-06-02 15:43:21.235 UTC+02:00"
