"Time (s)","X (rad/s)","Y (rad/s)","Z (rad/s)"
8.290242500E-1,4.458777606E-2,-3.616828844E-2,6.240833923E-2
8.390372500E-1,5.234902352E-2,1.158902198E-1,9.955251217E-2
8.490502500E-1,8.419741690E-2,2.261230350E-1,1.704357713E-1
8.590632500E-1,6.281089783E-2,3.340926468E-1,1.928846240E-1
8.690772500E-1,4.197266325E-2,3.215270340E-1,1.730015576E-1
8.790902500E-1,3.665859252E-2,1.580422372E-1,1.235866025E-1
8.891032500E-1,7.637445629E-2,-1.910876930E-1,1.177975312E-1
8.991162500E-1,1.268663853E-1,-3.881759942E-1,1.034079418E-1
9.091302500E-1,1.514370590E-1,-4.713044465E-1,2.740941197E-2
9.191432500E-1,1.302928925E-1,-4.191331267E-1,-1.836846210E-2
9.291562500E-1,9.207166731E-2,-2.921188474E-1,1.507304795E-2
9.391692500E-1,1.662272029E-2,-1.623576432E-1,3.254391626E-2
9.491832500E-1,-5.851080269E-2,-6.814545393E-2,3.758471459E-2
9.591962500E-1,-1.171496138E-1,-2.439611033E-2,4.629085213E-2
9.692092500E-1,-1.583170742E-1,1.246182062E-2,4.930935800E-2
9.792222500E-1,-1.722078621E-1,1.094027534E-1,6.668382138E-2
9.892352500E-1,-1.287530661E-1,2.194489241E-1,1.185324937E-1
9.992492500E-1,-1.041638404E-1,3.486428857E-1,1.640224755E-1
1.009262250E0,-1.297850162E-1,5.841225386E-1,1.861601770E-1
1.019275250E0,-1.653289050E-1,7.519698143E-1,1.753954142E-1
1.029288250E0,-1.919902116E-1,6.943921447E-1,1.789018512E-1
1.039302250E0,-1.986212134E-1,5.029507875E-1,1.307873130E-1
1.049315250E0,-1.282861233E-1,2.741700709E-1,3.982739896E-2
1.059328250E0,-1.164685562E-2,7.138446718E-2,-2.172890306E-2
1.069341250E0,9.006835520E-2,-7.096588612E-2,-2.720833011E-2
1.079355250E0,1.590077430E-1,-1.450899243E-1,-8.704421110E-3
1.089368250E0,1.842982471E-1,-1.397215724E-1,1.821126789E-2
1.099381250E0,1.940656453E-1,-8.006861806E-2,4.432968795E-2
1.109394250E0,1.887723505E-1,-9.431540035E-3,5.304542929E-2
1.119408250E0,1.641783118E-1,6.354998797E-2,5.179613829E-2
1.129421250E0,1.197679266E-1,1.030178517E-1,4.061000422E-2
1.139434250E0,6.519310176E-2,1.263418198E-1,3.273770213E-2
1.149447250E0,3.285957500E-2,1.386911422E-1,2.713845298E-2
1.159460250E0,3.287661821E-2,1.434297115E-1,2.220521495E-2
1.169474250E0,5.056443065E-2,1.177364588E-1,7.793006953E-3
1.179487250E0,7.145772874E-2,7.233142853E-2,9.790910408E-3
1.189500250E0,8.760149032E-2,4.260154441E-2,1.377294958E-2
1.199513250E0,9.807570279E-2,4.550918192E-2,2.259733342E-2
1.209527250E0,7.508937269E-2,4.621416703E-2,2.032467350E-2
1.219540250E0,3.365884721E-2,4.621390253E-2,1.038415916E-2
1.229553250E0,-3.414724022E-3,5.796226114E-2,1.779911574E-3
1.239566250E0,-3.243758529E-2,8.367881179E-2,3.795658471E-3
1.249580250E0,-4.742794484E-2,1.055598930E-1,1.480534114E-2
1.259593250E0,-4.700557142E-2,9.882822633E-2,3.701477498E-2
1.269606250E0,-3.166658059E-2,8.597031981E-2,5.312940851E-2
1.279619250E0,-1.756274700E-2,5.431972072E-2,6.607237458E-2
1.289633250E0,-2.765774354E-2,2.007826418E-2,7.190999389E-2
1.299646250E0,-4.561783746E-2,1.170661859E-2,6.905934960E-2
1.309659250E0,-6.338331848E-2,-6.120165810E-3,5.489472672E-2
1.319672250E0,-8.012181520E-2,-2.550851181E-2,4.401970655E-2
1.329686250E0,-8.294342458E-2,-4.564601183E-2,3.344434500E-2
1.339699250E0,-8.357459307E-2,-6.927091628E-2,1.346078143E-2
1.349712250E0,-7.481753081E-2,-6.250773370E-2,-1.541731041E-2
1.359725250E0,-7.627667487E-2,-2.961076424E-2,-3.780224547E-2
1.369738250E0,-8.992356062E-2,9.718578309E-3,-4.982020706E-2
