"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
8.027402500E-1,-3.995191956E-1,4.343068542E0,9.095685425E0
8.127532500E-1,-2.044747925E-1,4.234095154E0,8.454868011E0
8.227662500E-1,-1.302291870E-1,4.250710602E0,8.197403412E0
8.327792500E-1,-4.161346436E-2,4.233346710E0,8.572523346E0
8.427932500E-1,6.586303711E-2,4.230352936E0,8.671766968E0
8.528062500E-1,2.198927307E-1,4.263883209E0,8.731792145E0
8.628192500E-1,3.906875610E-2,4.253105621E0,8.858728180E0
8.728322500E-1,-1.695973206E-1,4.215234375E0,8.961564331E0
8.828452500E-1,-2.730322266E-1,4.460574188E0,8.958271179E0
8.928592500E-1,-3.332070923E-1,4.552483063E0,8.825497284E0
9.028722500E-1,-1.707948303E-1,4.773273926E0,8.401279449E0
9.128852500E-1,-4.743635559E-1,4.972808990E0,8.462352448E0
9.228982500E-1,-2.035766602E-1,4.384831696E0,8.361611938E0
9.329122500E-1,3.362008667E-1,4.866380310E0,8.160430298E0
9.429252500E-1,1.240919495E-1,4.633764038E0,8.165370026E0
9.529382500E-1,1.478924561E-1,4.462669830E0,8.058641968E0
9.629512500E-1,3.574566650E-1,4.553680573E0,8.296197968E0
9.729652500E-1,2.308200073E-1,4.487667847E0,8.368946686E0
9.829782500E-1,2.255809021E-1,4.421655121E0,8.428373108E0
9.929912500E-1,4.083508301E-1,4.409829712E0,8.341104584E0
1.003004250E0,5.254074097E-1,4.405189362E0,8.490194550E0
1.013018250E0,5.275030518E-1,4.437671814E0,8.630452881E0
1.023031250E0,4.475692749E-1,4.406237183E0,8.762328644E0
1.033044250E0,3.433859253E-1,4.498744812E0,9.026678925E0
1.043057250E0,7.170089722E-2,4.551734619E0,9.258247375E0
1.053070250E0,-2.278262329E-1,4.490362244E0,9.212143250E0
1.063084250E0,-2.868035889E-1,4.463268585E0,9.062304840E0
1.073097250E0,-2.335144043E-1,4.450994110E0,8.836424561E0
